tempo(ms),tensao(V),estado
0,0.0,Carregando
50,0.23,Carregando
101,0.45,Carregando
151,0.67,Carregando
202,0.87,Carregando
253,1.06,Carregando
304,1.25,Carregando
355,1.42,Carregando
405,1.58,Carregando
456,1.74,Carregando
506,1.9,Carregando
558,2.04,Carregando
608,2.17,Carregando
659,2.31,Carregando
710,2.43,Carregando
760,2.55,Carregando
812,2.65,Carregando
862,2.76,Carregando
913,2.86,Carregando
963,2.96,Carregando
1014,3.04,Carregando
1065,3.13,Carregando
1116,3.22,Carregando
1167,3.29,Carregando
1218,3.37,Carregando
1268,3.45,Carregando
1319,3.52,Carregando
1370,3.59,Carregando
1421,3.66,Carregando
1472,3.71,Carregando
1522,3.77,Carregando
1573,3.82,Carregando
1624,3.87,Carregando
1675,3.91,Carregando
1726,3.96,Carregando
1776,4.0,Carregando
1827,4.05,Carregando
1878,4.09,Carregando
1929,4.13,Carregando
1980,4.18,Carregando
2030,4.22,Carregando
2081,4.25,Carregando
2132,4.29,Carregando
2183,4.32,Carregando
2234,4.34,Carregando
2284,4.37,Carregando
2335,4.39,Carregando
2386,4.41,Carregando
2437,4.43,Carregando
2488,4.46,Carregando
2538,4.48,Carregando
2589,4.51,Carregando
2640,4.53,Carregando
2691,4.56,Carregando
2742,4.58,Carregando
2793,4.6,Carregando
2843,4.62,Carregando
2894,4.63,Carregando
2945,4.64,Carregando
2996,4.65,Carregando
3047,4.66,Carregando
3097,4.67,Carregando
3148,4.69,Carregando
3198,4.7,Carregando
3250,4.72,Carregando
3301,4.73,Carregando
3351,4.75,Carregando
3402,4.76,Carregando
3452,4.78,Carregando
3504,4.78,Carregando
3555,4.79,Carregando
3605,4.79,Carregando
3656,4.8,Carregando
3707,4.8,Carregando
3758,4.8,Carregando
3809,4.81,Carregando
3859,4.82,Carregando
3910,4.83,Carregando
3961,4.84,Carregando
4012,4.85,Carregando
4063,4.86,Carregando
4113,4.87,Carregando
4164,4.88,Carregando
4215,4.88,Carregando
4265,4.89,Carregando
4317,4.88,Carregando
4367,4.89,Carregando
4418,4.88,Carregando
4469,4.88,Carregando
4519,4.89,Carregando
4571,4.89,Carregando
4622,4.9,Carregando
0,4.9,Descarregando
51,4.67,Descarregando
101,4.45,Descarregando
152,4.25,Descarregando
204,4.05,Descarregando
254,3.86,Descarregando
305,3.68,Descarregando
355,3.51,Descarregando
406,3.35,Descarregando
457,3.19,Descarregando
508,3.04,Descarregando
559,2.9,Descarregando
609,2.77,Descarregando
660,2.64,Descarregando
710,2.51,Descarregando
762,2.4,Descarregando
813,2.3,Descarregando
863,2.19,Descarregando
914,2.09,Descarregando
964,1.99,Descarregando
1016,1.9,Descarregando
1067,1.81,Descarregando
1117,1.73,Descarregando
1168,1.65,Descarregando
1218,1.57,Descarregando
1270,1.5,Descarregando
1321,1.43,Descarregando
1371,1.36,Descarregando
1422,1.3,Descarregando
1473,1.24,Descarregando
1524,1.19,Descarregando
1575,1.13,Descarregando
1626,1.08,Descarregando
1676,1.03,Descarregando
1727,0.98,Descarregando
1778,0.94,Descarregando
1829,0.89,Descarregando
1880,0.86,Descarregando
1930,0.82,Descarregando
1981,0.78,Descarregando
2032,0.74,Descarregando
2083,0.71,Descarregando
2134,0.67,Descarregando
2184,0.65,Descarregando
2235,0.62,Descarregando
2286,0.59,Descarregando
2337,0.56,Descarregando
2388,0.53,Descarregando
2439,0.51,Descarregando
2489,0.48,Descarregando
2540,0.46,Descarregando
2591,0.44,Descarregando
2642,0.42,Descarregando
2693,0.41,Descarregando
2743,0.39,Descarregando
2794,0.37,Descarregando
2846,0.35,Descarregando
2896,0.33,Descarregando
2947,0.32,Descarregando
2997,0.3,Descarregando
3048,0.29,Descarregando
3099,0.27,Descarregando
3150,0.26,Descarregando
3201,0.25,Descarregando
3252,0.24,Descarregando
3302,0.23,Descarregando
3353,0.22,Descarregando
3404,0.21,Descarregando
3455,0.2,Descarregando
3506,0.19,Descarregando
3556,0.18,Descarregando
3607,0.17,Descarregando
3659,0.16,Descarregando
3709,0.16,Descarregando
3760,0.15,Descarregando
3810,0.14,Descarregando
3861,0.14,Descarregando
3913,0.13,Descarregando
3963,0.12,Descarregando
4014,0.12,Descarregando
4065,0.11,Descarregando
4115,0.1,Descarregando
4166,0.1,Descarregando
4217,0.09,Descarregando
